"Población total, indicadores socioeconómicos, índice y grado de marginación por municipio, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Clave de la entidad federativa,Nombre de la entidad,Clave del municipio,Nombre del municipio,Población total,% Población de 15 años o más analfabeta ,% Población  de 15 años o más sin educación básica,% Ocupantes en viviendas particulares sin drenaje ni excusado,% Ocupantes en viviendas particulares sin energía eléctrica,% Ocupantes en viviendas particulares sin agua entubada,% Ocupantes en viviendas particulares con piso de tierra,% Viviendas particulares con hacinamiento,% Población en localidades con menos de 5 000 habitantes,% Población ocupada con ingresos menores a 2 salarios mínimos,"Índice de marginación, 2020","Grado de marginación, 2020","Índice de marginación normalizado, 2020",Lugar que ocupa en el contexto nacional
,,,,,,,,,,,,,,,,,
CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020,
,,,,,,,,,,,,,,,,,
14,Jalisco,14107,Tuxcueca, 6 702,5.33,46.25,0.58,0.72,0.57,1.70,20.73,100.00,70.53,56.211,Bajo,0.88, 1 719
14,Jalisco,14108,Tuxpan, 37 518,4.30,36.24,0.15,0.51,0.26,5.18,19.11,18.78,69.05,57.972,Muy bajo,0.91, 2 157
14,Jalisco,14109,Unión de San Antonio, 19 069,7.74,56.12,3.17,0.64,3.24,1.48,21.83,54.18,71.60,55.761,Bajo,0.87, 1 592
14,Jalisco,14110,Unión de Tula, 13 799,3.72,39.52,0.49,0.23,0.65,1.77,12.42,30.94,64.20,58.487,Muy bajo,0.92, 2 241
14,Jalisco,14111,Valle de Guadalupe, 6 627,5.09,45.36,0.85,0.05,0.89,0.24,12.71,100.00,60.17,57.254,Muy bajo,0.90, 1 979
14,Jalisco,14112,Valle de Juárez, 6 151,8.02,48.04,0.70,0.83,0.42,0.98,11.88,100.00,69.33,56.289,Bajo,0.88, 1 741
14,Jalisco,14113,San Gabriel, 16 548,6.62,46.49,0.90,0.41,1.90,5.02,20.13,69.13,70.75,56.268,Bajo,0.88, 1 734
14,Jalisco,14114,Villa Corona, 19 063,4.97,42.61,0.25,0.15,0.27,1.25,17.22,55.49,71.46,57.455,Muy bajo,0.90, 2 035
14,Jalisco,14115,Villa Guerrero, 5 525,8.73,50.10,7.26,4.02,6.75,6.18,18.17,100.00,74.56,53.120,Medio,0.83,  908
14,Jalisco,14116,Villa Hidalgo, 20 088,3.76,51.12,0.51,0.18,1.04,0.83,15.05,22.37,80.16,57.609,Muy bajo,0.90, 2 069
14,Jalisco,14117,Cañadas de Obregón, 4 388,7.24,58.02,1.69,1.21,1.35,0.75,10.77,100.00,70.33,55.845,Bajo,0.87, 1 611
14,Jalisco,14118,Yahualica de González Gallo, 22 394,6.10,47.84,1.15,0.69,2.26,1.06,11.16,35.26,69.07,57.457,Muy bajo,0.90, 2 036
14,Jalisco,14119,Zacoalco de Torres, 30 472,4.30,41.89,1.16,0.29,1.06,5.22,21.17,33.23,68.29,57.381,Muy bajo,0.90, 2 013
14,Jalisco,14120,Zapopan,1 476 491,1.54,19.64,0.02,0.05,0.27,1.48,9.77,3.27,46.15,60.730,Muy bajo,0.95, 2 454
14,Jalisco,14121,Zapotiltic, 33 713,3.95,38.32,0.14,0.44,0.74,2.25,15.83,19.14,63.63,58.485,Muy bajo,0.92, 2 240
14,Jalisco,14122,Zapotitlán de Vadillo, 7 466,6.25,38.94,3.46,3.59,1.49,14.32,27.04,100.00,79.48,53.641,Medio,0.84, 1 041
14,Jalisco,14123,Zapotlán del Rey, 19 279,6.22,49.68,1.16,0.37,0.61,1.77,22.81,100.00,76.93,55.676,Bajo,0.87, 1 568
14,Jalisco,14124,Zapotlanejo, 64 806,4.99,48.41,0.95,0.46,1.55,1.04,18.61,48.64,68.62,57.180,Muy bajo,0.90, 1 962
14,Jalisco,14125,San Ignacio Cerro Gordo, 18 341,6.47,56.16,0.65,0.25,1.47,0.44,12.70,42.64,62.51,57.515,Muy bajo,0.90, 2 043
15,México,15001,Acambay de Ruíz Castañeda, 67 872,7.96,38.99,13.39,1.87,9.61,3.53,27.15,91.18,80.77,52.775,Medio,0.83,  819
15,México,15002,Acolman, 171 507,1.95,24.12,0.18,0.17,10.40,2.04,22.97,5.25,60.76,58.389,Muy bajo,0.91, 2 228
15,México,15003,Aculco, 49 266,6.94,40.67,15.20,1.83,6.31,2.01,27.19,100.00,82.16,52.840,Medio,0.83,  835
15,México,15004,Almoloya de Alquisiras, 15 333,7.44,44.08,8.12,0.88,3.87,2.85,23.40,100.00,83.57,54.069,Medio,0.85, 1 146
15,México,15005,Almoloya de Juárez, 174 587,5.64,35.87,7.85,0.98,7.40,3.20,27.46,61.81,73.29,55.021,Bajo,0.86, 1 394
15,México,15006,Almoloya del Río, 12 694,3.25,28.26,0.21,0.18,0.12,4.22,26.33,14.98,74.66,57.995,Muy bajo,0.91, 2 163
15,México,15007,Amanalco, 23 675,9.46,46.33,5.77,1.80,4.40,4.83,29.86,100.00,77.18,53.539,Medio,0.84, 1 018
15,México,15008,Amatepec, 25 244,12.60,50.15,7.39,1.28,8.23,7.04,23.24,100.00,78.28,52.764,Medio,0.83,  818
15,México,15009,Amecameca, 53 441,2.21,23.22,0.26,0.35,1.17,6.68,24.08,26.73,75.13,57.871,Muy bajo,0.91, 2 137
15,México,15010,Apaxco, 31 898,3.36,27.98,0.85,0.19,1.78,1.11,19.24,52.44,65.10,58.062,Muy bajo,0.91, 2 169
15,México,15011,Atenco, 75 489,2.23,27.18,0.27,0.30,9.25,4.51,27.97,24.63,77.30,56.987,Muy bajo,0.89, 1 920
15,México,15012,Atizapán, 12 984,3.33,31.07,0.19,0.47,0.21,6.29,31.47,16.26,81.12,57.181,Muy bajo,0.90, 1 963
15,México,15013,Atizapán de Zaragoza, 523 674,1.83,20.58,0.01,0.02,0.05,0.74,15.34,0.12,58.97,60.044,Muy bajo,0.94, 2 421
15,México,15014,Atlacomulco, 109 384,5.35,29.69,4.10,0.79,3.65,2.20,23.57,64.16,73.58,56.259,Bajo,0.88, 1 731
15,México,15015,Atlautla, 31 900,4.43,32.38,0.94,0.68,7.30,8.87,32.37,37.44,86.05,55.512,Bajo,0.87, 1 526
15,México,15016,Axapusco, 29 128,4.27,32.96,2.25,0.29,2.18,1.64,25.01,80.85,78.25,56.316,Bajo,0.88, 1 747
15,México,15017,Ayapango, 10 053,2.22,23.75,0.11,0.30,2.19,2.36,26.90,100.00,75.62,56.747,Muy bajo,0.89, 1 868
15,México,15018,Calimaya, 68 489,2.84,21.14,0.30,0.21,0.60,2.06,16.41,52.68,69.51,58.386,Muy bajo,0.91, 2 226
15,México,15019,Capulhuac, 36 921,2.40,23.76,0.26,0.15,0.91,2.55,22.54,13.26,66.57,58.788,Muy bajo,0.92, 2 295
15,México,15020,Coacalco de Berriozábal, 293 444,0.74,14.18,0.02,0.03,0.08,0.33,6.59,0.07,55.24,60.947,Muy bajo,0.95, 2 462
15,México,15021,Coatepec Harinas, 38 643,7.94,53.80,7.24,0.95,2.78,4.99,28.90,82.03,81.88,53.865,Medio,0.84, 1 107
15,México,15022,Cocotitlán, 15 107,1.80,20.06,0.23,0.52,7.60,4.20,24.16,31.89,69.10,57.721,Muy bajo,0.90, 2 102
15,México,15023,Coyotepec, 40 885,3.29,25.44,0.19,0.22,1.93,3.54,23.45,8.42,67.72,58.455,Muy bajo,0.92, 2 235
15,México,15024,Cuautitlán, 178 847,0.99,14.37,0.03,0.02,0.34,0.54,10.27,15.90,54.95,60.453,Muy bajo,0.95, 2 442
15,México,15025,Chalco, 400 057,2.56,24.45,0.20,0.26,7.98,4.61,25.60,7.84,68.81,57.842,Muy bajo,0.91, 2 130
15,México,15026,Chapa de Mota, 31 737,7.38,40.54,8.99,1.19,2.86,2.25,29.64,66.20,81.26,54.448,Medio,0.85, 1 240
15,México,15027,Chapultepec, 12 772,1.63,19.98,0.18,0.24,0.81,1.35,21.43,44.25,66.32,58.631,Muy bajo,0.92, 2 266
15,México,15028,Chiautla, 30 045,1.95,24.40,0.24,0.14,3.53,1.83,22.51,64.02,71.12,57.670,Muy bajo,0.90, 2 083
15,México,15029,Chicoloapan, 200 750,1.82,21.16,0.06,0.23,1.92,1.35,24.03,3.60,68.51,58.943,Muy bajo,0.92, 2 314
15,México,15030,Chiconcuac, 27 692,1.63,22.36,0.21,0.14,3.10,1.58,26.68,6.59,74.44,58.428,Muy bajo,0.91, 2 234
15,México,15031,Chimalhuacán, 705 193,3.13,30.49,0.04,0.14,1.80,3.89,34.01,0.28,72.70,57.802,Muy bajo,0.91, 2 117
15,México,15032,Donato Guerra, 37 436,12.20,53.56,9.05,2.37,11.58,11.00,36.95,84.26,77.66,51.309,Alto,0.80,  522
15,México,15033,Ecatepec de Morelos,1 645 352,1.93,23.43,0.02,0.04,1.00,1.18,18.36,0.11,63.83,59.511,Muy bajo,0.93, 2 366
15,México,15034,Ecatzingo, 10 827,5.36,28.08,1.43,0.62,2.24,6.83,38.81,23.40,78.11,56.248,Bajo,0.88, 1 726
15,México,15035,Huehuetoca, 163 244,1.68,19.57,0.13,0.11,1.25,0.81,20.81,18.85,65.12,59.156,Muy bajo,0.93, 2 338
15,México,15036,Hueypoxtla, 46 757,5.39,35.15,2.54,0.13,2.28,1.79,24.44,37.09,76.61,56.891,Muy bajo,0.89, 1 892
15,México,15037,Huixquilucan, 284 965,1.85,19.60,0.18,0.08,2.47,1.11,17.34,19.22,64.35,59.198,Muy bajo,0.93, 2 343
15,México,15038,Isidro Fabela, 11 929,4.46,31.54,2.34,0.40,0.71,3.08,23.94,100.00,72.28,56.287,Bajo,0.88, 1 740
15,México,15039,Ixtapaluca, 542 211,2.00,22.03,0.09,0.16,2.21,3.21,21.08,3.85,67.78,58.926,Muy bajo,0.92, 2 312
15,México,15040,Ixtapan de la Sal, 36 911,5.62,37.87,2.56,0.33,6.67,3.06,23.85,47.64,71.31,56.326,Bajo,0.88, 1 754
15,México,15041,Ixtapan del Oro, 6 475,10.61,54.06,8.67,2.18,2.32,5.33,34.37,100.00,93.19,52.052,Alto,0.82,  657
15,México,15042,Ixtlahuaca, 160 139,7.15,34.73,6.33,0.66,5.72,3.54,24.25,55.53,81.08,55.208,Bajo,0.86, 1 446
15,México,15043,Xalatlaco, 30 687,2.99,30.79,0.70,0.33,2.91,4.21,28.86,44.21,82.05,56.754,Muy bajo,0.89, 1 871
15,México,15044,Jaltenco, 28 217,1.33,23.02,0.07,0.05,0.12,2.13,13.67,0.00,66.34,59.738,Muy bajo,0.94, 2 388
15,México,15045,Jilotepec, 87 671,4.67,33.08,6.57,1.73,8.22,1.52,23.44,79.59,74.45,55.082,Bajo,0.86, 1 424
15,México,15046,Jilotzingo, 19 877,4.38,29.94,1.82,0.45,0.77,2.17,23.26,100.00,69.64,56.578,Muy bajo,0.89, 1 828
15,México,15047,Jiquipilco, 76 826,7.22,40.16,6.02,0.94,2.15,4.21,25.58,85.62,80.21,54.757,Bajo,0.86, 1 328
15,México,15048,Jocotitlán, 69 264,4.43,29.22,4.66,1.03,2.43,1.71,22.06,51.93,78.90,56.465,Bajo,0.88, 1 790
15,México,15049,Joquicingo, 15 428,5.18,33.86,1.11,0.54,2.26,5.81,29.11,67.31,88.15,55.615,Bajo,0.87, 1 553
15,México,15050,Juchitepec, 27 116,4.61,30.92,0.40,0.52,2.22,6.02,31.26,6.82,79.56,57.046,Muy bajo,0.89, 1 926
15,México,15051,Lerma, 170 327,2.74,21.49,0.46,0.24,0.82,1.49,17.87,48.39,44.79,59.308,Muy bajo,0.93, 2 351
15,México,15052,Malinalco, 28 155,7.42,44.43,5.50,0.49,4.23,4.15,25.42,68.31,87.37,54.638,Bajo,0.86, 1 293
15,México,15053,Melchor Ocampo, 61 220,2.24,24.17,0.14,0.11,0.50,2.75,24.32,18.63,67.37,58.645,Muy bajo,0.92, 2 271
15,México,15054,Metepec, 242 307,1.33,13.82,0.12,0.09,0.48,0.70,9.74,7.76,57.15,60.447,Muy bajo,0.95, 2 441
15,México,15055,Mexicaltzingo, 13 807,2.77,24.45,0.47,0.10,1.95,1.40,19.03,21.39,62.86,58.870,Muy bajo,0.92, 2 306
15,México,15056,Morelos, 33 164,10.06,46.53,13.31,2.69,7.02,5.12,29.81,100.00,87.82,51.666,Alto,0.81,  581
15,México,15057,Naucalpan de Juárez, 834 434,2.03,21.73,0.05,0.05,0.53,0.82,20.60,5.06,61.30,59.511,Muy bajo,0.93, 2 367
15,México,15058,Nezahualcóyotl,1 077 208,1.86,22.86,0.02,0.04,0.30,0.57,21.62,0.42,65.47,59.415,Muy bajo,0.93, 2 360
15,México,15059,Nextlalpan, 57 082,1.80,22.92,0.20,0.16,1.96,2.17,28.81,24.46,66.30,58.360,Muy bajo,0.91, 2 222
15,México,15060,Nicolás Romero, 430 601,2.82,26.73,0.54,0.10,4.33,1.96,21.05,11.30,63.22,58.604,Muy bajo,0.92, 2 263
15,México,15061,Nopaltepec, 10 351,3.58,31.67,1.04,0.17,0.86,0.77,20.75,100.00,74.23,56.836,Muy bajo,0.89, 1 880
15,México,15062,Ocoyoacac, 72 103,2.48,21.24,0.33,0.20,1.84,1.44,19.10,30.84,66.60,58.697,Muy bajo,0.92, 2 281
15,México,15063,Ocuilan, 36 223,6.23,39.87,3.39,0.59,3.72,4.20,27.95,100.00,85.76,54.619,Bajo,0.86, 1 287
15,México,15064,El Oro, 36 937,6.38,36.53,5.91,0.81,6.06,2.63,26.11,83.84,78.46,54.853,Bajo,0.86, 1 350
15,México,15065,Otumba, 36 331,3.50,29.42,1.53,0.49,2.08,1.48,23.52,57.90,78.75,56.990,Muy bajo,0.89, 1 921
15,México,15066,Otzoloapan, 4 891,14.48,50.43,5.19,0.04,0.56,1.20,20.47,100.00,85.03,54.022,Medio,0.85, 1 136
15,México,15067,Otzolotepec, 88 783,5.23,31.74,1.95,0.28,0.43,3.23,25.23,65.92,73.83,56.705,Muy bajo,0.89, 1 855
15,México,15068,Ozumba, 30 785,2.88,27.22,0.34,0.37,9.01,7.78,28.04,39.65,86.67,56.085,Bajo,0.88, 1 678
15,México,15069,Papalotla, 4 862,1.96,21.08,0.38,0.08,0.00,0.78,19.74,100.00,67.74,57.810,Muy bajo,0.91, 2 119
15,México,15070,La Paz, 304 088,2.70,27.99,0.10,0.23,8.30,4.58,30.45,2.51,72.47,57.438,Muy bajo,0.90, 2 030
15,México,15071,Polotitlán, 14 985,4.71,34.98,4.27,0.64,0.96,1.63,19.44,100.00,75.60,56.025,Bajo,0.88, 1 663
15,México,15072,Rayón, 15 972,2.81,22.05,0.11,0.27,0.62,1.86,20.20,40.27,73.11,58.268,Muy bajo,0.91, 2 201
15,México,15073,San Antonio la Isla, 31 962,1.74,16.46,0.18,0.27,0.50,1.79,14.55,6.35,64.26,59.719,Muy bajo,0.94, 2 387
15,México,15074,San Felipe del Progreso, 144 924,10.81,48.24,8.26,1.64,19.57,3.69,33.68,78.82,69.79,52.259,Alto,0.82,  716
15,México,15075,San Martín de las Pirámides, 29 182,2.85,25.13,0.65,0.26,1.83,2.95,21.79,51.06,72.54,57.711,Muy bajo,0.90, 2 099
15,México,15076,San Mateo Atenco, 97 418,2.04,21.63,0.20,0.23,2.76,1.27,19.14,1.03,71.90,58.962,Muy bajo,0.92, 2 316
15,México,15077,San Simón de Guerrero, 6 692,8.47,34.97,12.26,1.28,0.86,3.89,22.70,100.00,82.27,53.855,Medio,0.84, 1 105
15,México,15078,Santo Tomás, 9 729,8.17,41.83,3.67,0.35,3.87,1.94,25.88,100.00,75.29,54.966,Bajo,0.86, 1 376
15,México,15079,Soyaniquilpan de Juárez, 14 323,3.58,30.91,8.40,1.30,5.27,0.77,21.31,60.16,79.48,55.705,Bajo,0.87, 1 578
15,México,15080,Sultepec, 24 145,14.87,51.40,12.79,1.59,4.93,6.91,28.29,100.00,81.16,51.639,Alto,0.81,  572
15,México,15081,Tecámac, 547 503,1.18,15.65,0.03,0.05,0.92,0.91,13.80,2.03,61.66,60.117,Muy bajo,0.94, 2 427
15,México,15082,Tejupilco, 79 282,10.42,40.03,7.58,0.65,10.52,5.57,26.91,60.94,72.91,54.033,Medio,0.85, 1 139
15,México,15083,Temamatla, 14 130,2.53,22.67,0.12,1.21,7.86,3.12,24.99,54.96,70.66,56.962,Muy bajo,0.89, 1 911
15,México,15084,Temascalapa, 43 593,3.26,29.04,0.78,0.40,5.98,3.46,24.94,53.31,74.06,56.866,Muy bajo,0.89, 1 888
15,México,15085,Temascalcingo, 66 414,9.33,42.09,7.75,0.69,2.46,2.42,24.14,60.46,84.26,54.696,Bajo,0.86, 1 311
15,México,15086,Temascaltepec, 35 014,7.42,44.80,13.17,1.15,2.99,5.36,31.23,100.00,83.52,52.910,Medio,0.83,  855
15,México,15087,Temoaya, 105 766,6.20,40.64,2.82,0.65,0.84,4.87,27.60,70.08,78.41,55.631,Bajo,0.87, 1 556
15,México,15088,Tenancingo, 104 677,4.80,30.94,1.83,0.40,3.84,2.43,25.51,74.51,75.54,56.310,Bajo,0.88, 1 746
15,México,15089,Tenango del Aire, 11 359,2.89,24.13,0.20,0.38,1.33,1.80,26.94,43.43,75.51,57.640,Muy bajo,0.90, 2 075
15,México,15090,Tenango del Valle, 90 518,5.06,33.72,1.21,0.56,1.67,5.46,25.16,29.16,82.43,56.707,Muy bajo,0.89, 1 856
15,México,15091,Teoloyucan, 65 459,2.75,25.05,0.14,0.12,0.94,2.01,22.18,10.03,64.96,58.891,Muy bajo,0.92, 2 308
15,México,15092,Teotihuacán, 58 507,2.50,23.32,0.36,0.14,3.48,1.60,19.66,37.85,69.17,58.263,Muy bajo,0.91, 2 198
15,México,15093,Tepetlaoxtoc, 32 564,2.47,25.11,2.66,0.23,3.28,2.11,24.66,59.23,73.16,57.165,Muy bajo,0.90, 1 958
15,México,15094,Tepetlixpa, 20 500,3.37,31.07,0.51,0.39,6.40,8.59,30.27,27.10,82.31,56.317,Bajo,0.88, 1 748
15,México,15095,Tepotzotlán, 103 696,2.61,24.90,0.67,0.21,5.65,2.28,19.78,24.70,68.27,58.157,Muy bajo,0.91, 2 184
15,México,15096,Tequixquiac, 39 489,2.50,29.80,1.02,0.31,3.17,0.99,17.70,15.99,66.01,58.588,Muy bajo,0.92, 2 260
15,México,15097,Texcaltitlán, 18 482,6.99,41.13,8.27,1.27,6.17,3.21,30.06,100.00,83.75,53.544,Medio,0.84, 1 020
15,México,15098,Texcalyacac, 5 736,1.59,21.99,0.33,0.28,0.05,1.63,23.37,11.02,77.90,58.603,Muy bajo,0.92, 2 262
15,México,15099,Texcoco, 277 562,2.17,21.64,0.54,0.16,8.58,2.60,19.94,42.63,70.71,57.673,Muy bajo,0.90, 2 086
15,México,15100,Tezoyuca, 47 044,2.33,27.91,0.07,0.10,30.34,4.09,26.63,5.88,70.87,55.859,Bajo,0.87, 1 617
15,México,15101,Tianguistenco, 84 259,3.05,27.34,1.13,0.41,2.21,4.21,25.91,43.91,80.70,57.026,Muy bajo,0.89, 1 923
15,México,15102,Timilpan, 16 414,5.78,37.32,4.18,0.63,2.86,1.04,19.99,100.00,78.38,55.577,Bajo,0.87, 1 547
15,México,15103,Tlalmanalco, 49 196,1.58,17.84,0.17,0.15,0.46,2.68,21.30,25.04,65.06,59.027,Muy bajo,0.92, 2 325
15,México,15104,Tlalnepantla de Baz, 672 202,1.77,20.58,0.02,0.04,0.17,0.70,15.82,0.04,58.70,60.030,Muy bajo,0.94, 2 419
15,México,15105,Tlatlaya, 31 762,14.21,47.89,9.64,0.77,7.97,7.55,26.33,100.00,81.80,52.190,Alto,0.82,  694
15,México,15106,Toluca, 910 608,2.63,20.32,0.48,0.25,2.06,1.45,14.63,11.51,63.71,59.284,Muy bajo,0.93, 2 350
15,México,15107,Tonatico, 12 912,5.01,39.35,0.62,0.18,4.30,1.29,15.34,45.62,79.61,57.084,Muy bajo,0.89, 1 938
15,México,15108,Tultepec, 157 645,1.79,19.46,0.03,0.06,0.14,1.28,16.37,4.30,64.10,59.718,Muy bajo,0.94, 2 386
15,México,15109,Tultitlán, 516 341,1.66,21.07,0.02,0.04,0.35,0.95,13.82,1.72,60.84,59.987,Muy bajo,0.94, 2 417
15,México,15110,Valle de Bravo, 61 590,6.01,34.54,1.71,0.65,1.99,3.60,22.93,51.98,68.97,56.811,Muy bajo,0.89, 1 875
15,México,15111,Villa de Allende, 53 275,10.04,50.54,8.82,1.81,7.87,5.29,34.82,100.00,74.08,52.527,Alto,0.82,  765
15,México,15112,Villa del Carbón, 51 498,7.41,41.40,11.32,2.25,3.32,4.17,30.21,81.36,76.19,53.607,Medio,0.84, 1 035
15,México,15113,Villa Guerrero, 69 086,6.70,54.18,3.97,0.61,3.19,5.10,29.66,85.04,85.92,54.223,Medio,0.85, 1 187
15,México,15114,Villa Victoria, 108 196,11.06,55.25,20.02,1.71,16.55,5.59,34.58,100.00,67.73,50.422,Alto,0.79,  395
15,México,15115,Xonacatlán, 54 633,3.65,27.92,0.79,0.25,0.86,1.71,21.38,27.29,70.97,58.142,Muy bajo,0.91, 2 180
15,México,15116,Zacazonapan, 5 109,10.07,46.34,1.73,0.41,1.63,0.75,20.65,100.00,70.17,55.520,Bajo,0.87, 1 527
15,México,15117,Zacualpan, 13 522,10.10,49.24,20.25,2.26,18.16,8.36,29.18,100.00,88.72,49.693,Alto,0.78,  310
15,México,15118,Zinacantepec, 203 872,3.77,26.29,0.87,0.34,2.11,2.49,19.64,24.52,65.04,58.329,Muy bajo,0.91, 2 214
15,México,15119,Zumpahuacán, 18 833,9.86,45.43,8.62,0.81,5.44,8.49,33.83,100.00,95.95,52.211,Alto,0.82,  700
15,México,15120,Zumpango, 280 455,2.17,23.47,0.17,0.15,1.75,0.94,25.53,23.44,67.09,58.543,Muy bajo,0.92, 2 251
15,México,15121,Cuautitlán Izcalli, 555 163,1.25,16.80,0.05,0.04,1.90,0.80,10.07,2.29,49.34,60.633,Muy bajo,0.95, 2 451
15,México,15122,Valle de Chalco Solidaridad, 391 731,3.14,30.17,0.04,0.08,1.73,3.36,33.75,0.21,73.69,57.842,Muy bajo,0.91, 2 129
15,México,15123,Luvianos, 28 822,14.23,49.65,11.05,1.47,16.42,6.95,26.21,69.80,85.71,51.445,Alto,0.81,  540
15,México,15124,San José del Rincón, 100 082,13.50,57.02,4.93,1.35,18.94,4.82,41.96,100.00,71.80,51.314,Alto,0.80,  524
15,México,15125,Tonanitla, 14 883,1.74,21.35,0.04,0.18,5.36,1.52,21.97,53.54,66.29,58.033,Muy bajo,0.91, 2 167
16,Michoacán de Ocampo,16001,Acuitzio, 11 301,6.92,48.19,0.86,1.04,3.19,9.72,24.13,34.17,82.84,55.521,Bajo,0.87, 1 528
16,Michoacán de Ocampo,16002,Aguililla, 14 754,14.97,62.65,1.92,1.99,1.64,6.01,21.95,42.35,71.91,54.435,Medio,0.85, 1 237
16,Michoacán de Ocampo,16003,Álvaro Obregón, 23 000,8.03,48.78,0.84,0.23,0.36,2.05,18.50,58.64,84.88,56.116,Bajo,0.88, 1 691
16,Michoacán de Ocampo,16004,Angamacutiro, 14 943,8.74,60.92,2.90,0.32,1.16,1.05,15.92,66.25,85.83,55.372,Bajo,0.87, 1 484
16,Michoacán de Ocampo,16005,Angangueo, 10 892,6.85,42.35,2.19,0.40,1.02,8.43,26.63,100.00,84.84,54.718,Bajo,0.86, 1 314
16,Michoacán de Ocampo,16006,Apatzingán, 126 191,8.66,47.32,1.11,0.35,1.98,11.19,24.21,18.88,69.37,56.224,Bajo,0.88, 1 723
16,Michoacán de Ocampo,16007,Aporo, 3 529,8.15,45.54,6.36,0.40,0.54,5.43,26.50,100.00,86.40,54.139,Medio,0.85, 1 166
16,Michoacán de Ocampo,16008,Aquila, 24 676,12.80,56.95,18.38,10.66,12.25,40.48,35.53,100.00,73.07,45.803,Muy alto,0.72,  71
16,Michoacán de Ocampo,16009,Ario, 36 268,7.94,48.68,0.59,0.28,2.21,9.45,23.35,50.10,66.12,56.116,Bajo,0.88, 1 692
16,Michoacán de Ocampo,16010,Arteaga, 20 332,13.37,46.70,5.98,1.81,2.64,12.16,19.53,45.67,69.66,54.309,Medio,0.85, 1 202
16,Michoacán de Ocampo,16011,Briseñas, 11 681,5.78,50.00,0.38,0.11,0.81,1.17,18.91,100.00,76.75,56.103,Bajo,0.88, 1 683
16,Michoacán de Ocampo,16012,Buenavista, 45 538,12.60,62.38,1.17,0.38,1.59,10.29,26.77,50.57,73.67,54.573,Medio,0.85, 1 279
16,Michoacán de Ocampo,16013,Carácuaro, 9 176,15.56,54.89,4.63,1.96,2.56,13.17,27.56,100.00,83.36,52.086,Alto,0.82,  666
16,Michoacán de Ocampo,16014,Coahuayana, 17 022,10.11,55.26,0.97,0.56,1.26,6.42,24.96,65.42,65.93,55.492,Bajo,0.87, 1 520
16,Michoacán de Ocampo,16015,Coalcomán de Vázquez Pallares, 19 633,9.70,54.87,2.80,3.01,0.58,8.78,20.41,29.68,74.58,55.052,Bajo,0.86, 1 409
16,Michoacán de Ocampo,16016,Coeneo, 20 965,10.62,56.36,1.21,0.36,2.58,5.72,14.20,100.00,90.16,54.397,Medio,0.85, 1 227
16,Michoacán de Ocampo,16017,Contepec, 35 070,9.18,52.37,6.36,0.67,2.43,2.51,26.12,100.00,86.53,53.784,Medio,0.84, 1 083
16,Michoacán de Ocampo,16018,Copándaro, 9 484,7.81,51.81,0.59,0.35,3.51,4.78,18.63,100.00,85.46,54.917,Bajo,0.86, 1 365
16,Michoacán de Ocampo,16019,Cotija, 20 198,11.60,58.12,0.83,0.47,2.02,2.32,17.84,30.32,62.15,56.504,Bajo,0.88, 1 802
16,Michoacán de Ocampo,16020,Cuitzeo, 29 910,9.65,53.49,0.53,0.30,0.73,4.34,19.93,63.28,85.40,55.447,Bajo,0.87, 1 506
16,Michoacán de Ocampo,16021,Charapan, 13 539,16.31,57.23,0.57,1.04,25.91,17.60,34.96,100.00,91.32,49.721,Alto,0.78,  314
16,Michoacán de Ocampo,16022,Charo, 25 138,6.34,53.91,0.97,0.62,2.67,4.66,19.48,76.90,82.56,55.455,Bajo,0.87, 1 511
16,Michoacán de Ocampo,16023,Chavinda, 10 417,9.94,64.03,0.67,0.15,1.64,2.32,17.95,36.68,72.71,56.191,Bajo,0.88, 1 713
16,Michoacán de Ocampo,16024,Cherán, 20 586,10.98,44.76,0.43,0.72,7.75,19.78,24.72,18.19,79.71,54.522,Medio,0.85, 1 262
16,Michoacán de Ocampo,16025,Chilchota, 40 560,10.91,51.00,1.44,0.67,3.01,13.68,24.81,62.66,84.10,54.167,Medio,0.85, 1 173
16,Michoacán de Ocampo,16026,Chinicuila, 4 773,10.85,55.21,5.66,3.14,1.12,14.14,21.67,100.00,80.96,52.685,Medio,0.82,  801
16,Michoacán de Ocampo,16027,Chucándiro, 4 944,13.90,64.26,2.79,0.12,11.34,2.11,15.73,100.00,88.43,53.098,Medio,0.83,  906
16,Michoacán de Ocampo,16028,Churintzio, 5 233,6.01,56.99,0.92,0.34,1.42,0.44,10.72,100.00,77.01,56.125,Bajo,0.88, 1 693
16,Michoacán de Ocampo,16029,Churumuco, 12 342,14.86,57.94,14.23,2.00,3.07,19.72,36.50,100.00,78.76,50.203,Alto,0.79,  372
16,Michoacán de Ocampo,16030,Ecuandureo, 11 850,11.31,64.69,1.77,0.17,0.46,0.78,10.64,100.00,81.64,55.051,Bajo,0.86, 1 408
16,Michoacán de Ocampo,16031,Epitacio Huerta, 16 112,10.36,57.65,4.32,1.01,2.35,2.35,18.28,100.00,84.40,54.107,Medio,0.85, 1 155
